Brand_Name,Item_Name,Number_Likes,Condition,Color,Size,Price,Img_Length,Measurements,Description
Reese Cooper,REESE COOPER Plaid Ripstop Wide-Leg Pants,23,Used,Blue,34,$124 ,5,FALSE,"REESE COOPER Plaid Ripstop Wide-Leg Pants
retail ~$400
from autumn/winter 2022 two steps forward collection
size medium/large unisex
PROFESSIONALLY TAILORED for CROPPED fit see measurements
worn ONCE almost brand new
fits normally on someone around 5'9
From the Two Steps Forward Collection. An exaggerated wide-leg silhouette defines Reese Cooper’s plaid pants, cut from sporty ripstop nylon.
Elasticized drawstring waistband
Pull-on style
On-seam pockets
Back patch pockets
Polyester
Dry clean
Made in USA
modern / streetwear / luxury / designer
COLOR: navy
Keywords/similar to: ssense farfetch saks
general hashtags : #rare #unique #vintage #streetwear #trending"
Reese Cooper,Reese Cooper Cargo Work Pants,87,New,Khaki,34,$280 ,6,FALSE,New without tags. Size 34. Message me with any questions!
Levi's × Reese Cooper,Reese Cooper x Levis Straight Fit Jeans,36,Gently Used,Blue denim,32,$96 ,3,FALSE,"Condition: 9/10
Worn a few times but still in great condition.
32 waist 34 length"
Levi's × Reese Cooper,Levis Reese Cooper Straight Denim Jeans,16,New,Beige,32,$150 ,4,FALSE,brand new with tags
Reese Cooper,Reese Cooper Brushed Cotton Cargos,3,New,Blue,30,$200 ,8,TRUE,"SS22 “Fresh Air”
Never worn, 10/10 condition.
Retail:$400+
*FINAL SALE* NO RETURNS"
Reese Cooper,AW 2021 Pyrophyte Cotton Cargo Pants,7,Used,Black,32,$165 ,5,TRUE,"A bit of fading. Good condition. Loose straight fit.
Ships from nyc in 3-5 days."
Reese Cooper × Streetwear,Black Relaxed Fit Trousers,13,New,Black,34,$70 ,6,FALSE,"Beautiful pair of black pleated trousers from Reese cooper.
Wide legged relaxed fit
Insanely nice quality and details
BRAND NEW"
Reese Cooper,Nylon Cargo Shorts Green,28,New,Green,27,$63 ,4,TRUE,"Reese Cooper
Nylon Cargo Shorts
Green
New w/o tags
originally $325
The “HOW A LETTER TRAVELS” tag is loose on the left side."
Reese Cooper,Nylon Cargo Short,31,Used,Green,30,$115 ,3,TRUE,"Purchased directly from Reese Cooper
Retailed around $300
Lightweight Cordura nylon cargo short
Great summer short
I am doing a closet clearout, so I am doing package deals!
Open to offers
You are buying the item as is so please look at the pics carefully and ask any questions beforehand. Once the item is shipped it is no longer my responsibility(fees, duties, taxes), no returns or refunds."
Reese Cooper,RCI Single Pocket Pants,9,Used,Grayish green?,30,$81 ,8,TRUE,"RCI pants from “how a letter travels”
Pocket on leg of pants has a zipper on the side with a “hidden” pocket. These were ripped and repaired on the sides - see pics"
