"","brand_name","item_name","number_likes","condition","color","size","price","img_length","measurements","description"
"22","Reese Cooper","Reese Cooper Wilson Boots","18","Condition New","Color Black","Size Men's / US 9 / EU 42","$400",12,FALSE,"brand new in box with dust bag"
"23","Reese Cooper","Reese Cooper Wilson Boot Beige","10","Condition Gently Used","Color Beige","Size Men's / US 8 / EU 41","$450",9,FALSE,"Wilson Boot
Beige
Size 41 (26cm)
Cond 9.8/10
No flaws worn 2 times"
"24","Reese Cooper","Reese Cooper Wilson Boot Size9 UK42","92","Condition New","Color Biege","Size Men's / US 9 / EU 42","$506",14,FALSE,"Wilson Boot by Reese Cooper
Beige Suede
Brand New 10/10
Size 9 US or Size 42
Vibram sole"
"25","Reese Cooper","Wilson Boot in Black Ballistic Nylon","14","Condition Gently Used","Color Black","Size Men's / US 10 / EU 43","$440",8,FALSE,"The Wilson Boot is a hiking boot that can be worn on & off the trail with ease. Handcrafted in Italy with ballistic nylon and supported by our favourite Vibram sole. The Wilson comes with 3 pairs of laces & about 100+ ways to tie them.
I just cleaned these so they may look slightly wet in some areas. Comes with everything included in original package (laces, dust bag, etc)."
"26","Reese Cooper","Wilson Boots","13","Condition Gently Used","Color Beige","Size Men's / US 11 / EU 44","$300",6,FALSE,"• Worn Once
• Stained Box (Discounted)
• Need Gone .. Looking To Replace <U+0001F4AF>
• Next Day Shipping"
"27","Reese Cooper","Reese Cooper Wilson Boots","12","Condition Gently Used","Color Beige","Size Men's / US 14 / EU 47","$310",6,FALSE,"Great condition
Worn twice
Do not have box"
"28","Reese Cooper","Reese Cooper Wilson Boot Black - size 41","21","Condition Gently Used","Color Black","Size Men's / US 8.5 / EU 41-42","$290",7,FALSE,"Size 41
OG everything and that means all of it
Worn maybe 5-10x"
"29","Reese Cooper","REESE COOPER WILSON BOOTS","12","Condition Gently Used","Color Black","Size Men's / US 10 / EU 43","$240",6,FALSE,"Black and green colorway
Comes with cream laces that’s already on it.
Doesn’t come with original box
Super beautiful boot
Great condition
Send offers
Judge condition off of photos!"
"30","Reese Cooper","Reece Cooper // Wilson Boots SEND OFFERS","36","Condition Gently Used","Color Beige","Size Men's / US 11.5 / EU 44-45","$390",12,FALSE,"Reece Cooper // Wilson Boots SEND OFFERS
8/10
Great Condition
No Wear On Soles
Offer Away"
"31","Reese Cooper","Reese Cooper Wilson Boot Beige Suede Size 39","56","Condition Gently Used","Color Beige","Size Men's / US 7 / EU 40","$315",5,FALSE,"Worn x1
Comes with original everything
Made in Italy
SIZE 39
The sizing chart on the website converts these to 6 3/4"
"32","Reese Cooper","Hand painted Wilson boots","35","Condition New","Color Grey","Size Men's / US 11 / EU 44","$400",11,FALSE,"The iconic Reese Cooper Wilson boot but with a flare, entirely suede exterior for the boots and the hand painted bottoms from the open house livestream.
Only one in each size meaning this is the only size 11
Comes with three different lace colors, dust bag and recyclable box.!!! The paint is not coated whatsoever so the paint will only continue to chip away with transportation and usage.
Open to offers :)"
"33","Reese Cooper","Wilson Boot Black Ballistic Nylon 42","67","Condition New","Color Black","Size Men's / US 9 / EU 42","$560",10,FALSE,"Wilson Boot Black Ballistic Nylon
Size 42 or 9US
New
Comes with the Black & Green laces"
"34","Reese Cooper","Reese Cooper Wilson Boot Black Ballistic Nylon","23","Condition Used","Color Black","Size Men's / US 13 / EU 46","$460",7,FALSE,"• Vibram sole
• Ballistic nylon upper
• Rubberised coating covering the seam connecting sole & upper
• Full leather lining
• RCI insole
• 3 lace options included
• Double speed hooks
• RCI ankle lace eyelet detail
• MADE IN ITALY
Worn lightly, send offers willing to negotiate"
